x ,y
0.767,0.8165
0.6839,0.952
0.3575,0.2417
0.0309,0.1454
0.0615,0.5029
0.451,0.5017
0.9527,0.8414
0.1048,0.0314
0.0703,0.7987
0.7967,0.2277
0.1603,0.1434
0.456,0.7262
0.2085,0.11
0.1027,0.1854
0.9995,0.1494
0.3309,0.1382
0.5027,0.333
0.9668,0.9363
0.7652,0.5909
0.026,0.949
0.1767,0.713
0.7953,0.727
0.3829,0.6319
0.1198,0.2745
0.1154,0.5598
0.1038,0.8015
0.9819,0.9808
0.0746,0.7345
0.27,0.0333
0.4818,0.8904
0.1317,0.3046
0.6711,0.4871
0.6638,0.1238
0.7752,0.5118
0.0648,0.5446
0.0459,0.3949
0.8934,0.4273
0.9775,0.8966
0.5628,0.0424
0.0527,0.3239
0.5702,0.0518
0.2314,0.0454
0.2301,0.951
0.4577,0.1293
0.855,0.1044
0.2624,0.3656
0.6907,0.9041
0.504,0.6044
0.7805,0.9707
0.646,0.9947
0.8506,0.5228
0.2035,0.6245
0.8828,0.8978
0.6142,0.3633
0.3603,0.9039
0.2291,0.022
0.1732,0.709
0.6953,0.5073
0.8033,0.1158
0.5164,0.8267
0.2043,0.3129
0.4019,0.7271
0.4869,0.0591
0.1456,0.4684
0.2459,0.9608
0.7976,0.4415
0.2178,0.5055
0.6548,0.8818
0.7858,0.0213
0.5575,0.1134
0.805,0.331
0.1249,0.1441
0.5251,0.1642
0.97,0.7529
0.5472,0.8198
0.7589,0.5682
0.0819,0.0164
0.37,0.662
0.9387,0.6104
0.6783,0.2672
0.6989,0.9957
0.2372,0.65
0.8697,0.2024
0.2598,0.9598
0.9359,0.1698
0.6178,0.151
0.4274,0.998
0.8131,0.7374
0.0267,0.4182
0.3186,0.8118
0.7456,0.6912
0.2898,0.0283
0.9447,0.2173
0.4251,0.768
0.2422,0.7893
0.1653,0.4608
0.4717,0.1754
0.4839,0.1586
0.287,0.4365
0.1985,0.307
